0	农业是安天下、稳民心的战略产业。解决好“三农”问题，事关经济社会发展全局。坚持城乡统筹，以工促农、以城带乡，突出农民持续增收和提高农业综合生产能力、确保粮食安全两大主题，加快实现引黄灌区由传统农业向现代农业、南部山区由传统种植业向现代生态畜牧业和种植业相结合转变。
1	推进农业产业化。稳定粮食产量，大力推广优质稻、双季稻，确保粮播面积910万亩、总产340万吨。实现经济作物总面积245万亩、年产值18亿元，种植烟叶10万亩以上，收购烤烟30万担。以发展标准化农业为抓手，继续推进粮油“百亿产业”工程，启动市城区粮食仓库整体搬迁，建设大型粮油及农副产品批发零售市场。推进标准化规模养殖建设。加强城镇蔬菜基地和特色蔬菜基地建设，实施好“菜篮子”工程。出台扶持农副产品深加工企业的发展政策，新增农产品基地10万亩，扶持农业产业化龙头企业和农民专业合作组织100家，组织实施产业化经营项目39个，争取新增农业产业化规模企业20家。启动农业科技产业示范园建设。做好南方金银花改版正名工作。强化农产品质量安全，创建标准化示范县1个、示范乡镇20个、示范基地36个，新增无公害农产品15个、绿色食品23个。加大渔政管理和野生动植物保护力度，做好动植物疫病防控工作。
2	大力推进农业现代化。切实抓好“十亿斤优质粮食增产工程”、“十万吨油脂增产工程”和“菜篮子工程”建设，加快高标准农田、优质水稻基地建设，稳定粮食生产。加快推进蔬菜、生猪、家禽等八大主导产业基地和南昌县国家级，进贤县、安义县省级现代农业示范区建设。全力推进农业产业化，重点培植年产40万吨米业集团等一批省级以上龙头企业，大力扶持80个市级以上龙头企业，全市龙头企业销售收入突破400亿元。大力开展“农田水利基本建设年”活动，加快实施圩堤加固、病险水库除险加固、中小河流治理等水利工程建设。深入开展农民负担专项治理，依法推进土地承包和流转，切实维护农民根本利益。
3	继续改善农业水利基础设施。加快推进垣曲小浪底引提水前期工作，继续实施白沙河水库扩容改造及灌区管网建设、禹门口东扩、西范东扩等水利项目。完成夏县温峪和闻喜石门应急水源工程建设。抓住国家“十二五”大兴水利工程建设的机遇，实现水利建设向大型水源工程建设与末级渠系配套建设并重转变，切实扩大农作物的有效灌溉面积。加快实施新一轮农村电网改造升级工程。继续执行大中型泵站电价、水价补贴政策，降低农业灌溉成本。
4	大力发展高效特色农业。围绕六大高效特色产业板块，研究制定“一县一业、一村一品”发展和推进规划，提高特色优势农产品集聚度。搞好农业科技示范园区建设，进一步壮大方兴农业、紫团食用菌等设施农业生产基地，规范提升工厂化育苗的水平和质量。深入推进农业产业化，新上95个农业产业化项目，促进农业生产的专业化、标准化和集约化。启动实施畜牧业“双千工程”，重点抓好瑞强禽业、金科养殖、大山禽业等30个健康养殖示范企业，新增88个投资千万元以上的标准化规模养殖场。建设全市重大动物疫病防控应急指挥系统，搞好畜禽疫病防治工作。积极推进无公害农产品、绿色食品、有机食品和地理标志产品认证工作，有效提高农业效益和竞争力，率先把我市建成全省高效特色农业示范基地。
5	推进现代农业经营体系建设。积极培育新型农业经营主体，力争新增龙头企业5家以上，农民合作社100个以上，家庭农场100个以上。加快知名农产品品牌创建和“三品一标”认证，提升农业品种品质品牌。拓宽农产品新型销售渠道，力争新增农产品电商10家以上。进一步完善农业技术推广、农业机械化、农产品质量安全监测、农业综合执法和农产品流通等服务体系。
6	提高农业综合生产能力，粮食总产量达到130万吨。提高设施农业水平，积极创建设施蔬菜标准化基地和省级现代农业示范区。提高农业机械化水平，实现综合机械化率提高到79%。提高农业科技化水平，推广优质水稻栽培、超高产紧凑型玉米栽培等新技术10项，引进试验示范新品种18项，培训农村科技带头人80人，新型职业农民2000人。
7	加快发展现代农业。积极推进农业区域化布局、专业化分工、标准化生产、产业化经营。大力发展无公害农产品、绿色食品和有机食品，推进生态农业、循环农业和观光农业建设。加快建设一批骨干水利、小微型水利和节水工程，新建通乡通村公路1万公里，积极推广先进适用农机具，强化种子、化肥、农药等农资市场监管，加快城乡电网改造，大力发展农村通信。进一步完善农业科技推广和农产品质量安全监测体系，启动一批重大农业科技专项和重点项目，加强动植物疫病防治。重视品牌经营，扶持一批龙头企业，大力发展农民专业合作社，积极探索、推广农业产业化新型利益联结机制，培育农民自我发展和进入市场的能力。
8	大力推进农业现代化。加快农业装备设施建设，完善农产品冷链仓储配送系统。建设省级现代农业科技创新联盟、农业科研项目储备库。扶持“育繁推”一体化骨干种子企业做大做强。壮大新型农业经营主体，发展多种形式适度规模经营。发展农产品加工业和农业服务业，建设一批农业公园和农业综合体，发展农村电商，培育上市农业龙头企业，在推动农村一二三产业融合发展中促进农民增收。大力发展林下经济。推进渔船更新改造，发展远洋渔业和深水网箱养殖。推进农业标准化生产，加强农业环境监测和农产品质量安全监管，加强重大动植物疫病防控。
9	农业农村发展基础不断夯实。大力实施农村公路“畅通”“连通”工程，行政村道路通畅率提高8.2个百分点，达68.2%。完成病险水库除险加固42座、中小河流治理项目33个，新增、恢复和改善有效灌溉面积63.16万亩。建成农村饮水安全工程项目460个，解决了23.57万农村人口饮水不安全问题。实施市级以上农业科技项目34项，推广新品种300多个、新技术30多项，农业技术推广、农机耕种收一体化、农副产品购销和质量安全检测等服务体系不断完善。新农村建设扎实推进，完成400个新农村建设及1500个村屯道路硬化。扶贫工作取得新进展，全市农村贫困人口减少7.1万人，贫困村人均纯收入增长20.1%。
