0	四是大力推进文化强市建设。培育和践行社会主义核心价值观，加强思想道德建设，深化群众性精神文明创建活动，启动新一轮全国文明城市创建。树立首府意识，不断增强广大市民作为首府人的自豪感和建设好首府的责任感。加强意识形态工作，强化阵地建设和管理，特别是加强互联网建设与管理，营造清朗的网络空间。大力弘扬中华优秀传统文化，加强文物保护利用和文化遗产传承。深入挖掘民族文化内涵，整合草原文化资源，打造草原文化核心区。适应多层次、个性化文化发展需求，推出更多群众喜闻乐见、独具地方特色的文艺精品和文化活动，打造文化名片和文化品牌。完善公共文化服务体系，深入实施文化惠民工程。健全现代文化产业体系和市场体系，积极发展出版、影视、动漫、文化创意等文化产业，推动文化产业与大数据、旅游、体育、健康、养老、会展等产业深度融合，培育和壮大新型文化业态，文化及相关产业增加值占GDP比重达到5%左右。
1	高度重视文化事业发展，加大对文化事业的支持力度。增加对公益性文化事业和重大公益性文化建设项目的投入，市博物院建设项目要积极争取国家、省立项，年内完成市图书馆、文化馆搬迁重建工作，新建和完成金江乡、白沙乡、永北镇、船房乡、红桥乡等12个基层文化站建设。继续积极稳妥地推进文化体制改革，上半年全面完成7家试点单位的改革工作，认真总结经验，为下一步全面推进全市文化体制改革提供经验。切实巩固和提升文化遗产和文物的保护与管理水平，加快纳西古乐等遗产申报工作。启动《丽江地方志》续志编纂工作。做好云南丽江东巴足球俱乐部的经营和管理，加大体育场馆建设，大力发展体育事业。确保信息传输安全，提高广播电视节目质量，加快发展广播电视事业。
2	推动文化繁荣发展。深度挖掘地域特色文化，实施人文古迹保护和历史再现工程，推进黑山岩画、魏晋文化保护与展示，逐步完善石关峡保护设施，提升民间博物馆群运营水平。加强非物质文化遗产保护。健全文化体育服务设施，改造提升城乡社区体育健身设施和文体活动广场。加快文化创意产业园建设，开发文创产品，发展艺术创造、动漫、多媒体等新业态，构建文化事业和文化产业多元发展格局。
3	4、推进文化大发展大繁荣。要大力发展公益性文化事业，加快市群艺馆等公共文化设施建设，全面推行文化场馆免费开放。启动东风文化产业大厦、阳泉电影院改造等一批新项目。加快发展文化产业，大力推进“中国版画”博物馆布展和基地建设，加快“中国刻花瓷文化园”、“娘子关文化园”、“中国煤雕艺术馆”、“平定砂货产业基地”等项目建设；打造《清明》、《伏击》、《女娲补天》等一批具有地域特色的文艺作品。加大自然遗产地、重点文物、历史文化名镇名村的保护力度，加强非物质文化遗产的保护和传承。广泛开展全民健身，丰富城乡群众文化体育生活，不断满足人民群众的精神文化需求。
4	大力促进文化繁荣发展。积极创建国家公共文化服务体系示范区,着力抓好市文化艺术中心、博物馆、图书馆、工人文化宫等重点文化设施项目建设,推进公共文化服务基本化、均等化、便利化。实施文化艺术名家扶持工程,培育一支高水平的文艺创作人才队伍。大力倡导全民阅读,积极建设“书香永州”。加强历史文化名城、名镇、名街、名村、名居等文化遗产和非物质文化遗产保护,支持女书申报世界记忆名录和世界文化遗产,打造中国书法名城。成立文旅投资公司,促进文旅投入与城建投入相结合,引进大品牌、新业态,整合开发文旅资源,做大做强文化产业,培育一批文化龙头企业。加强公民思想道德建设,强化网络空间治理,净化网络环境。
5	——必须坚持走组团式城市发展道路，加快建设有现代化城市建筑标志，包容佛山产业特征，具有岭南水乡特点，体现深厚历史文化底蕴的现代化大城市。借鉴国内外城市规划建设先进理念，走组团式城市发展道路，构建现代化大城市新格局，是我们促进各种资源要素优化配置，推动城乡互动，提升区域综合竞争力的必需。要坚定不移地推进“2+5”城市组团建设，按照“统一规划、统一标准、统一安排，属地实施、属地管理、属地受益”的原则和“同城生活、同城便利、同城发展”的目标，加快组团式城市基础设施的无缝对接，密切我市与周边城市之间的区域联系，促进经济向组团式城市方式集聚和发展。要进一步确立“经营城市”理念，推动城市可经营性项目资本化管理、市场化经营。要注重城市文物遗迹保护和修缮，促进历史文化底蕴与现代城市气息相交融。要强化城市管理，改善城市环境，提升城市形象，把佛山建成产业重点突出、文化底蕴深厚、城市功能完善、组团联系紧密、生态环境良好、岭南水乡特色鲜明的现代化大城市。
6	增强公共文化服务能力。构建覆盖全市、惠及全民的公共文化服务体系，为群众提供更多公共文化产品。大力推进文化惠民工程，加快市图书馆新馆、报业新闻传媒中心等一批文化设施建设，推动各县（市）区公共图书馆、文化馆建设和达标改造，实施乡镇（街道）综合文化站、村文化室达标工程和“农家书屋”提优工程、乡镇广播电视服务站标准化工程，完成行政村体育健身设施提档升级。大力推动文化产品生产，传承“中国近代第一城”优秀文化，努力推出一批群众喜爱、体现时代风采、展示地域文化特色的精品力作。大力加强历史文化保护，进一步放大环濠河博物馆群文化资源优势，做好创建全国公共文化服务示范项目实施工作，推进一批历史文化保护工程，积极传承优秀民俗艺术、非物质文化遗产，彰显国家历史文化名城新风采。
7	"大力开展""文化发展繁荣提升年""活动。积极推进""十大文化建设工程""，启动工业博物馆、军事博物园、白莲洞古人类遗址博物馆建设，创作工业题材大剧，建设文庙和水上大舞台，力争电视剧《刘三姐》在年底首播。加强非物质文化遗产与文博资源的保护和利用，继续做好第三次全国文物普查。努力抓好第二轮修志工作。积极开展丰富多彩的群众文化活动，持续打造群众文化品牌。继续实施""文化惠民""工程，进一步完善公共文化服务体系，全面完成六县四区10个""文化信息资源共享工程""县（区）级支中心建设，新建2个城区图书馆、53个城乡基层文化活动点，完成370个""农家书屋""建设，做到一村一月放映一场电影，解决4937个村屯的广播电视信号接收问题。"
8	（九）加快建设国际文化旅游名城，进一步提高文化软实力。全面深化文化传承创新体系，深入挖掘历史文化资源，积极推进文化旅游“三个转变”，延续城市文脉，彰显古都特色。一是加强文化遗产保护利用。主动融入国家“大运河文化带”战略，深入推进华夏历史文明传承创新区建设，突出抓好隋唐洛阳城国家历史文化公园、老城历史文化街区二期、释源大道等重点项目，实施天街北延和里坊区环境整治，启动东城墙遗址保护展示工程前期工作，确保九洲池一期牡丹文化节前对外开放、南城墙年内全线完工，尽快实现宫城区由景点到景区连片发展，逐步勾勒隋唐洛阳城的历史轴线和47平方公里的都城轮廓。二是加快建设“博物馆之都”。依托重要文化遗产资源，打造一批骨干博物馆，推进牡丹博物馆、工业遗产博物馆、客家文化博物馆等建设，确保隋唐大运河遗址博物馆年内开工，二里头遗址博物馆及考古遗址公园10月份对外开放，班超纪念馆等年内建成开放。积极推进伊川、汝阳、嵩县等一批县域博物馆建设。创新博物馆运营机制，加快数字化博物馆建设，提升综合功能和服务水平，开发博物馆旅游精品线路，推动文博产业发展。三是促进文化旅游融合发展。强化龙门石窟等重点景区龙头带动作用，支持栾川、嵩县、孟津、洛龙等县（区）创建国家全域旅游示范区，加快十大文化产业园建设，培育文化旅游新业态，打造旅游目的地品牌。谋划建设洛阳国际会展中心，精心办好第37届中国洛阳牡丹文化节、中国－中东欧国家文化遗产论坛、第二届世界古都论坛、2019河洛文化旅游节，力争全年接待游客1.4亿人次以上、增长7%左右，旅游总收入1300亿元以上、增长15%左右。
9	(三)不断丰富人民群众的文化生活。深入挖掘阴山边塞文化、草原文化、敕勒川文化、西口文化、工业文化等资源，打造具有鲜明特色的文化品牌。提升鹿城文化艺术节的举办质量，加强与旅游、商贸相结合，扩大节庆活动影响力。办好春节联欢晚会、新年音乐会、鹿城元宵文化节等文娱活动。提炼各地特色文化，打造国家和自治区级“民间艺术之乡”、“特色艺术之乡”等品牌。继续开展文化艺术惠民“五进活动”，努力把优秀剧目、民族音乐和文化知识送到广大群众身边。积极实施农村牧区电影放映工程，每个行政村放映电影不低于十二场。净化银屏声频，开展“扫黄打非”活动，整治校园周边环境，为青少年健康成长创造良好的社会文化环境。加强公共体育设施建设，广泛开展全民健身运动，促进群众体育和竞技体育全面发展。
