0	全面启动生态市建设。编制完成《杭州生态市建设规划》并颁布实施，出台《加快推进杭州生态市建设的实施意见》。全面落实生态市建设和环境保护目标责任制。启动实施一批生态市、生态县建设重点项目工程。积极创建一批生态村、镇和环境优美乡镇。实施西溪湿地综合保护工程。
1	(三)落实绿色发展，在提升生态效益上实现新的更大突破。牢固树立“绿水青山就是金山银山”的理念，坚持向生态要效益、要发展，向绿色要增长点、要生产力。全面加强河湖、森林、湿地、草原等生态系统的规划和保护，大力发展绿色农业、清洁能源、生态旅游，促进生态建设与经济发展融合互促，切实提高发展质量和效益。力争到“十三五”期末，生态环境基本恢复到上世纪50年代水平，建设美丽白城。
2	全面落实计划生育和环境保护基本国策。严格控制人口增长，提高人口素质。广泛开展计划生育宣传教育，转变各族群众生育观念，加强计划生育管理和技术服务网络建设，确保全区人口出生率控制在较低水平，实现人口控制目标。完善环保质量行政领导责任制和城市环境综合整治运行机制，强化对工业污染的控制和治理，重视乌鲁木齐、三大油田、博斯腾湖、阿尔金山自然保护区和塔里木河、艾比湖的生态环境治理，促进生态良性发展，遏制环境污染加剧趋势。
3	(七)扎实推进节能减排，加强生态环境保护。突出抓好工业、交通运输、公共机构等领域的节能。发展绿色建筑，推进建筑节能。加强污染防治和环境保护，突出抓好重点流域、区域、行业污染治理，加强饮用水源保护区、自然保护区、生态敏感区、中心城市环境管理，控制重点污染源。推进火电、冶金、水泥等行业污染治理设施改造。加快推进城镇污水、垃圾处理设施建设，完善污水收集管网，全面建成县城以上垃圾处理工程；强化污水和垃圾处理设施运营管理，提高污水收集率、处理率和生活垃圾无害化处理率。完成石漠化治理面积1000平方公里、营造林面积350万亩。加强对外来有害物种的防治。加大重点地区和重大地质灾害监测调查、预警预测和防治工作力度。
4	（四）突出绿色发展，加快生态文明建设。全面推进郴资桂两型社会示范带建设，大力实施两型项目，加快建立两型产业体系，率先形成有利于资源节约、环境友好的新机制，率先积累开放崛起、转型发展的新经验，率先打造两型产业聚集区、改革开放先导区、生态文明实践区，带动和促进全市两型社会建设。大力发展循环经济，加快淘汰落后产能，积极实施“气化郴州工程”，强力推进节能减排。加强生态建设和环境保护，抓好环东江湖生态功能区建设，强化重点流域、重点区域环境综合整治和重金属污染治理，推进中心城市重点排污企业“退二进三”，有效解决突出环境问题，确保生态环境质量明显改善。开展“宜居城市、宜居城镇、宜居乡村”创建活动，推进“三年城乡绿化攻坚”，提高森林覆盖率和碳汇功能。
5	加强生态保护。深入推进青山工程，实施大伙房水源一级保护区退耕还林还草计划和浑河、苏子河、社河干支流生态封育计划，完成荒山造林7.4万亩、经济林产业带16.3万亩。继续实施绿水工程，统筹建设乡镇污水处理设施，综合治理浑河干支流，基本建成大伙房水库上游干支流生态带。全力开展蓝天工程，坚决控制建设、交通扬尘，搬迁重污染企业，下决心整治龚家沟环境污染问题，推广出租车、公交车油改气，加快供暖“拆小并大”和生活垃圾焚烧厂项目建设，实现电力、冶金、水泥、石化行业污染物达标排放，确保空气质量明显改善。
6	（三）启动创建国家环保模范城。继续加大环保工作力度，争取用3年时间建成省级环保模范城，用4到5年时间建成国家环保模范城。今年要大力实施区域环境综合整治、水环境保护、矿山生态恢复治理、工业企业全面达标巩固提高、废物综合利用等五大工程，积极推进强化环境监管、注重生态建设、加大资金投入、落实目标责任、夯实基础建设等五项措施。积极推进桃河流域综合整治，落实好平定、盂县全省环境综合整治重点县区的相关政策。强化对滹沱河流域的生态保护。继续改善和提升市区空气质量，大气污染指数稳定在2.4以下；县区政府所在地二级以上天数达到260天以上。娘子关断面化学需氧量、氨氮浓度稳定达到4类水质。同时进一步加大节能减排力度，严格传统产业的能耗、环保准入门槛，落实新上项目能评、环评制度，加快推进关闭落后企业和淘汰落后产能工作进程。严格落实节能减排工作奖惩制和一票否决制。
7	建设生态宜居美丽乡村。坚持规划先行，基本实现村庄建设规划编制全覆盖。大力实施“百村示范、千村整治”工程，严格实施《河源市农村生活垃圾治理条例》，以打造省级新农村连片示范工程和省定贫困村创建社会主义新农村为突破口，全域整治提升农村人居环境。源城要高标准把五村连片开发打造成全市乡村振兴连片开发示范标兵；东源要把田园综合体建设成为全市乡村振兴综合开发排头兵；龙川、和平、连平和东源要全力支持打造粤赣省界原中央苏区（河源）、灯塔盆地示范区核心区2个乡村振兴示范带；紫金要全力抓好六镇连片示范创建。努力争创1-2个省级特色小镇，建成5-10个特色精品村。开展移民美丽家园建设。大力推进“厕所革命”。突出镇村联动，推动镇街建设提档升级。加快“四好农村路”建设，提高行政村客运通达率。
8	--加快重点生态工程建设。实施水土保持重点防治工程，开展“绿满十堰”行动，推进四方山森林公园、岩洞沟水库生态区建设。突出抓好交通干道沿线、产业园区、“口子乡镇”等重点区域造林绿化和生态修复，加强裸露山体治理，建立重点区域生态修复长效机制。加强森林资源保护，提高森林覆盖率。抓好新一轮退耕还林工程建设，加快丹江口库岸和汉江、堵河两岸绿化工程建设，完成人工造林30万亩、义务植树1000万株。抓好饮用水水源保护，保障饮水安全。
9	良好的生态环境是高质量发展的重要内涵，也是高品质生活、高水平全面小康的内在要求，必须始终坚持生态优先、绿色发展，以打硬仗的决心、钉钉子的韧劲，持续打好污染防治攻坚战，突出抓好中央环保督察“回头看”反馈问题整改，促进生态环境质量持续改善。坚决打赢蓝天保卫战。全面加强主要污染源管控，实施机动车国六排放标准，基本完成钢铁企业超低排放改造、燃煤锅炉整治等重点任务，大力推动水泥、焦化等其它重点行业超低排放改造，加强施工工地管理，开展挥发性有机物等专项整治，PM2.5平均浓度下降到47微克/立方米，空气质量优良天数比率上升至70%。着力打好碧水保卫战。严格落实河长制、湖长制、断面长制，切实保护水资源、修复水生态。加大太湖流域综合治理，实现更高水平“两个确保”。加强近岸海域污染防治、饮用水水源地保护和黑臭水体整治，确保主要入江支流、入海河流消除劣V类，国考断面水质优III类比例提高到70%。扎实推进净土保卫战。加强土壤污染防治和污染地块风险管控，加快建立污染地块名录和开发利用负面清单，扩大典型污染土壤治理和修复试点，深入开展涉重企业排查整治，促进土壤资源永续利用。切实打好治理体系能力建设提升战。积极推进与生态环境部共建“生态环境治理体系和治理能力现代化”试点，扎实推进城乡垃圾、污水、固废、危废等处置能力建设。大力实施园区环境治理工程，着力提升污染物收集、污染物处置、能源清洁化利用、生态环境监测监控能力。依法严厉打击各类环境违法行为，充分发挥市场机制和经济杠杆作用，激发各类主体治污减排的内生动力。积极推进领导干部自然资源资产离任审计，促进领导干部认真履行生态环境保护责任。强化“共抓大保护、不搞大开发”的战略导向，把修复长江生态环境摆在压倒性位置，突出抓好城镇污水垃圾、化工污染、船舶码头和农业面源污染治理，加快两岸造林绿化和湿地生态修复，切实把母亲河的一江清水保护好。
