0	实施教育均衡计划。加强现代学校制度建设，提升师德师风。深入开展学前教育三年行动，统筹推进两类学校[22]建设和城乡义务教育一体化，完成217所学校全面改薄任务，开工建设市澴川学校和黄香路小学，支持社会力量办学，增加学位供给，加快消除“大班额”；探索“互联网+”远程教学，均衡城乡教育资源，深化教育教学改革，提升中考合格率和高考上线率。开展校园足球试点学校建设和中小学研学旅活动。支持市特校提档升级。推进高中阶段教育普及攻坚计划。产教融合开展职业教育，整合资源建设湖北工程技师学院，支持湖北工程学院建设新型工程大学、湖北职业技术学院争创全国高职院校50强。
1	坚持教育优先发展。巩固提高“两基”成果，努力改善农村和贫困地区基础教育办学条件，不断提高义务教育阶段教育质量。推进中小学和师资力量的区域布局调整，促进城乡、区域教育均衡发展。多方筹资，全面实施中小学校舍安全工程，完成40万平方米的第二批中小学危房整体改造暨标准化建设任务。基本普及高中阶段教育，确保毛入学率达85%以上。积极发展学前教育和特殊教育，支持发展高等教育。扩大中等职业教育规模，争取在校生突破12万人。
2	加快发展教育事业。坚持科教兴市战略，始终把教育放在优先发展的位置，落实中长期教育改革和发展规划纲要，加大教育投入，合理配置资源，优化学校布局，加快规范化学校建设，推进义务教育均衡发展。积极实施“名师工程”，提升教师整体水平。建立健全教育教学激励机制，不断提高教育教学质量。推进市二中、八一中学、民族中学等学校建成省一级学校，扩建思源高中、思源实验学校二期工程，创办海南西部中学，不断增加高中阶段学位。加快发展学前教育，确保“十二五”末每个镇建成并办好1所公办幼儿园。大力发展职业教育，争取创办西部职业技术学院。鼓励发展民办教育，完善老年大学建设。
3	坚持教育优先。持续改善办学条件，完成煤城小学综合楼、蔬园小学食宿楼和第二十二中学食宿楼、风雨操场建设，启动第十七中学建设工作。推进体育中考改革，引领学生重视体育锻炼，提升身体素质。实施“护眼工程”，推进校园照明设备改造。全面推进“智慧教育”工程。在义务教育“基本均衡”的基础上着力解决“择校热”“大班额”等突出问题，不断向“优质均衡”迈进。加强教师队伍建设，招录各类紧缺中小学教师150名。聚焦师德师风建设，严惩“收红包”“拉赞助”行为。打造学生欢迎、家长放心、教师满意、社会认可的教育。
4	坚持教育优先发展。继续破解“择校热”“大班额”、普惠性学前教育供给不足等问题。建成幼儿园12所，推进幼儿园小学化专项治理。统筹推进义务教育城乡一体化，建成公办中小学校12所。持续推进高中阶段教育普及攻坚工作。全面启动中职学校布局调整和专业结构优化，增强职业教育服务我市经济社会发展能力。大力发展高等教育，加快推进南宁教育园区建设，年内开工建设学校3所、投入使用3所。深化教育职称制度改革。探索解决中小学教师编制不足问题，推进全市教师考试招聘工作。着力提升各级学校的教育质量和科研水平。加大对民办教育的支持力度，为民办教育预留发展空间，提高政府购买学位比例。提升继续教育、社区教育、特殊教育、老年教育和智慧教育水平。
5	巩固扩大教育优势。坚持立德树人，学前教育抓普惠普及，义务教育抓优质均衡，高中教育抓改革发展，职业教育抓产教融合，高等教育抓内涵提升，培养德智体美劳全面发展的社会主义建设者和接班人，把衡水教育名片擦得更亮。深入开展消除中小学大班额专项行动，新改扩建中小学、幼儿园69所。在主城区所有公办小学全面推行下午放学后免费托管服务，开展公办中小学营养午餐试点，鼓励有条件的县市积极试行。推进衡水中学扩建、衡水交通职教园建设，启动滏阳中学新建前期工作。
6	3、教育助学工程：义务教育阶段学生“两免一补”实现“应免尽免”，寄宿学生生活费补助对象14470名，为目标任务的160.8%。对家庭特别困难的15158名中等职业学校学生和6243名高中学生实施了资助，分别为目标任务的189.5%、135.7%。义务教育阶段在校残疾学生达880名，为目标任务的102.3%。学校灾后重建项目竣工率达75.4%，为目标任务的100.5%。
7	（三）提高教育服务质量水平。补齐教育经费保障机制短板。建立公办普通高中生均拨款制度，全市公办普通高中生均公用经费补助标准不低于每生每年500元；继续落实义务教育公用经费，义务教育学校生均公用经费标准小学不低于每生每年1150元，初中不低于每生每年1950元；继续落实中职生均拨款制度，全市中等职业教育生均拨款基本标准不低于每生每年3000元。
8	努力办好人民满意的教育。启动重大教育改革试点和发展项目。加快“双高普九”进程，实施义务教育学校标准化建设，促进城乡义务教育均衡发展，加快普及高中阶段教育。扩大技能型紧缺人才培养规模，推进教产结合、校企一体化办学。加强高水平大学和重点学科建设，调整优化学科专业结构。实施学前教育发展三年行动计划。改革人才培养模式，全面实施素质教育。加强师德建设，提高教师队伍素质。支持民办教育，扶持发展特殊教育和民族教育。大力发展继续教育，加快发展老年教育，构建终身教育体系，建设学习型社会。
9	发展公平而有质量的教育。深化教育综合改革，加强相关配套建设，稳妥推进高考综合改革。新改扩建普惠性幼儿园38所，开工化解大班额项目学校8所，开展城镇小区配套幼儿园治理，进一步缓解入园难入园贵、大班额问题。巩固提升义务教育均衡发展成果，创建“美丽乡村学校”35所。突出优质高中教育，支持元坝中学、朝天中学创建省二级示范高中。积极发展职业教育，围绕特色优势产业和企业发展需要，深化产教融合、校企合作。积极发展高等教育，支持四川核工业职业技术学院建设。支持和规范社会力量兴办教育。
