0	健全社会保障体系。进一步扩大基本养老、医疗、失业、工伤、生育保险覆盖面，新增各类保险参保21万人次以上。企业退休职工养老金月人平增加110元，城镇职工基本医疗保险个人自付比例下降3个百分点以上。继续抓好城镇居民基本医疗保险。启动新型农村养老保险试点，出台失地农民、农民工和城镇居民养老保险实施细则，将市内转移就业农民工和失地农民纳入养老保险范围。进一步提高城乡低保水平，城镇居民最低生活保障线标准提高50元，农村低保扩面3万人，达到13万人以上。落实农村五保制度，建立和完善敬老院管理和保障机制，提高优抚对象生活补助标准。加强以廉租房为重点的城市住房保障和农村安居工程建设，逐步解决低收入家庭的住房困难。搞好扶贫帮困，开展医疗救助、自然灾害救助等救济工作，支持社会福利事业和慈善事业发展。关心残疾人工作。落实移民扶持政策，改善移民生产生活条件。
1	完善社会保障体系。实施民生实事行动计划，办好15件民生实事。推进创业型城市建设，建立政府激励创业、社会支持创业、劳动者勇于创业新机制，以创业带动就业，城镇新增就业8200人，农村劳动力转移就业15万人。力争基本养老、医疗保险覆盖城乡所有居民，扩大失业、工伤、生育等保险覆盖面，农民工工资“一卡通”覆盖率达95%以上。健全留守儿童、妇女、老人关爱服务和残疾人权益保障等社会救助体系，完善社会养老服务体系，新建、改建敬老院3所。扩大住房保障覆盖面，开工建设保障性住房1.07万套。建立公开规范的住房公积金制度，促进解决城镇职工住房问题。加强物价监管，居民消费价格总水平涨幅控制在4%以内。
2	加强就业创业和社会保障工作。落实和完善就业援助措施，帮助失业和就业困难人员就业，确保零就业家庭动态“清零”。深入推进“创业江淮”行动计划，建设创业服务云平台，实施大学生就业创业促进计划。构建和谐劳动关系，保障农民工工资按时足额支付。实施社会保障全覆盖工程，深入推进机关事业单位工作人员养老保险制度改革，整合城乡居民基本医疗保险制度，推进工伤保险省级统筹，完善以城乡最低生活保障和特困人员供养为重点的社会救助制度。大力发展医养结合，推进社区居家养老服务中心建设，加快构建多层次高质量养老服务体系。新增保障性安居工程33.2万套，基本建成19.8万套，完成10万户农村危房改造。
3	完善社会保障体系。启动城镇居民医疗保险试点。加强社会保障体系建设，完善农村特困群众救助体系建设，城镇低保实现应保尽保，将符合条件的农村贫困群众纳入农村低保。农村五保对象集中供养率达到28%以上。积极发展社会福利和慈善事业。
4	织牢社会保障网络。深入实施高校毕业生就业创业促进计划，做好退役军人安置和就业创业服务工作。深入推进“贷免扶补”和创业担保贷款，加大创业扶持力度。逐步提高社会保险待遇，“五险”参保人数达867万人次。加强城乡低保、特困人员供养等基本保障，加快养老服务业发展，关爱农村“三留守”群体。全面治理拖欠农民工工资问题。建成保障性住房12972套。
5	(七)加快社会保障体系建设,大力改善发展环境。扩大城镇养老保险覆盖面,多渠道筹措养老保险基金,进一步提高支付能力,积极开展城镇离退休人员社会化管理,加快推动国有企业下岗职工基本生活保障制度向失业保险制度的并轨,确保离退休人员基本养老金、国有和城镇集体企业下岗职工基本生活费、居民最低生活保障金的按时足额发放;全面推开城镇职工基本医疗保险制度改革,配套推进医疗机构和药品流通体制改革;实现养老、失业、医疗保险金统一由税务机构征收。认真落实鼓励消费的政策,进一步清理和取消限制消费的各项规定,改善农村的水、电、路、通信等设施条件,支持银行开展信贷方式创新、增加消费信贷,促进城乡居民扩大消费。确保全省各级政府审批制度改革措施全面到位,努力减少审批事项和审批环节,规范审批行为,缩短审批时限,提高办事效率和服务质量。进一步减轻企业和农民的负担,继续对中小学和农村建房乱收费、农村用电乱提价、报刊征订乱摊派进行重点整顿,巩固治理达标升级和过多过滥检查评比的成果。认真整顿市场秩序,对社会中介组织进行清理和整顿,依法严厉打击生产和销售假冒伪劣商品、走私贩私、骗取出口退税、逃汇骗汇等严重扰乱市场秩序的犯罪活动,制止不正当竞争行为。
6	充分发挥社会保障的兜底作用。开展医养结合试点，建设敬老院、老年活动中心、农村互助养老院84个。推进全民参保，职工“五险”、城乡居民养老、医疗保险参保人数每年都有新的增加。提高基本医疗保险补助标准，提高大病统筹救助标准，提高城乡居民最低生活保障标准，提高企业退休人员养老金标准，给重度残疾人发护理补贴，给困难残疾人发生活补贴。
7	稳定和扩大就业。实施更加积极的就业政策，坚持城乡并举，保持就业形势稳中向好。认真解决高校毕业生就业问题，继续做好农村转移劳动力、就业困难人员、退役军人等重点群体就业工作。大力开发就业岗位，建立健全城乡统一的人力资源服务体系，为劳动者提供职业技能培训和就业信息服务。促进平等就业，加强劳动关系协调，依法维护劳动者权益。
8	全市新增就业岗位5618个，落实公益性岗位345个，“4050”人员就业159人，90户零就业家庭中有就业能力和就业愿望的135人顺利就业，实现了“零就业”家庭动态清零。开工建设全民创业城、改造东园农贸市场工作未完成。
9	织密社会保障网。坚持保基本、补短板、兜底线，深入实施全民参保计划，完善城乡居民基本医疗保险制度，健全城乡居民基础养老金标准正常调整机制，鼓励发展商业医保和企业年金，完善多层次社会保障体系。加大对农牧区贫困人口和城镇困难群众的医疗救助力度，大力推进社区居家养老服务，在农牧区探索开展孤寡老人养老服务公益岗位试点，让老年人安享晚年。关爱留守儿童，加强城乡困境儿童保障，让孩子们快乐成长。稳步提高城乡低保、优抚等保障标准，加大残疾人关爱力度，切实做好托底工作，让社会发展更有温度，让民生幸福更有质感。
