0	2003年是全面贯彻党的十六大精神的第一年，也是新一届政府的开局之年。做好今年的工作，对于全面完成本届政府的奋斗目标至关重要。全市国民经济和社会发展的预期目标是：国内生产总值增长12%；全社会固定资产投资增长13%；外贸出口额增长15%；财政总收入增长12.8%；城市居民人均可支配收入和农民人均纯收入分别增长8%和6%。今年经济社会发展的不确定因素较多，任务艰巨。我们要坚定信心，迎难而上，扎实做好改革发展稳定的各项工作，确保完成经济和社会发展的预定任务。
1	(三)正确履行政府职能。建设服务型政府，切实把政府履职的着力点转到创造良好发展环境、提供优质公共服务和维护社会公平正义上。处理好政府与市场的关系。进一步简政放权，规范行政审批和权力运行，组建省级行政服务和公共资源交易中心，将直接为企业和群众服务的审批项目和公共服务事项全部纳入政务大厅，实行网上审批和“一站式”办公。 完善接受监督机制。继续实行政府部门与人大和政协专门委员会对口联系制度，加强各级政府与民主党派、无党派和社会各界人士的沟通，深化和扩大政务公开，畅通监督渠道。实行建议议案办理责任制，对办理不力的政府部门严格问责。我们要通过打造优质服务的软环境，让企业成长、让人才留住、让百姓受益。
2	严格依法行政，推进法治政府建设。认真贯彻《依法治市纲要》。认真执行人大及其常委会的决议、决定，主动接受人民政协民主监督。抓住我市被赋予地方立法权机遇，加快制定在城乡建设与管理、环境保护、历史文化保护等领域的地方政府规章。推进依法科学民主决策，建立健全决策咨询和法律顾问制度，严格落实重大决策终身责任追究制度及责任倒查机制。在条件成熟的领域实行跨部门综合执法，加强和改进执法监督，深化行政执法责任制，严格规范公正文明执法。
3	2019年政府工作总体思路是：高举习近平新时代中国特色社会主义思想伟大旗帜，全面贯彻党的十九大、十九届二中、三中全会和中央经济工作会议精神，认真贯彻习近平总书记对东北振兴工作重要指示精神，深入贯彻省、市经济工作会议以及市委七届五次全会精神，统筹推进“五位一体”总体布局，协调推进“四个全面”战略布局，做到“五个坚持”，打好“三大攻坚战”，抓实“六稳”工作，纵深推进“五市联动”，坚决打赢创新转型、深化改革、生态治理、乡村振兴“四场战役”，加快建设新时代“美丽四平、幸福家园”，以优异成绩迎接新中国成立70周年。
4	2013年政府工作的指导思想是：以十八大精神为指导，深入贯彻科学发展观，着力强工业、调结构，攻项目、求突破，勇改革、破难题，惠民生、促和谐，优环境、增活力，勇于担当，实干苦干，绿色崛起，奋力争先，在与全国全省同步建成小康社会新征程中迈出重大步伐。
5	坚持依法行政，建设服务型政府。全面实施依法行政规划，增强法制观念，推进依法行政。进一步改善经济发展软环境。继续减少和规范行政审批。积极推行项目建设“代建制”。将建设工程招投标、政府采购、产权交易等统一纳入政务大厅规范运行。制定全省服务型政府建设规划，进一步转变政府职能，改革行政管理体制，创新行政管理方式，提高行政能力和行政效率。认真贯彻落实《公务员法》，加强公务员队伍建设。深化政务公开，落实新闻发布和重大决策、重要事项的公开咨询、公开听证和公示等制度，全面推行公用事业单位公开办事制度。进行省、市(州)、县(市区)三级应急信息管理平台和网上业务系统建设。加强行政效能监察，确保重大决策贯彻落实。充分发挥决策智力支撑体系作用，推进科学民主决策。构建教育、制度、监督并重的惩治和预防腐败体系，加强反腐倡廉工作。大力改进政风，求真务实，改革创新，埋头苦干，凝心聚力谋发展、促发展，努力实现快发展、大发展。
6	(四)建设清廉型政府。推进政府重大任务和重大项目全过程效能监察,加强政府采购资金、政府投资项目、国有土地使用权出让等管理与监督,健全公共资源交易制度。强化任期经济责任审计,完善结果运用机制,加大整改落实力度。改进政风行风评议,强化行政绩效考核。严格落实党风廉政建设责任制,全面加强惩治和预防腐败体系建设,拓展从源头上防治腐败的工作领域,坚决查处各类违法违纪案件。创新公务员管理机制,加大公务员教育培训力度。牢固树立过“紧日子”思想,坚持勤俭节约办事,严控“三公”经费支出。全体政府工作人员,特别是各级领导干部,要强化政治意识、责任意识和公仆意识,加强自身修养,提升能力水平,时刻保持蓬勃朝气、昂扬锐气、浩然正气。
7	"坚持和加强党的全面领导，切实增强""四个意识""，坚决维护党中央权威和集中统一领导，自觉在思想上政治上行动上同以习近平同志为核心的党中央保持高度一致，严守政治纪律和政治规矩，全面推进政治建设、思想建设、组织建设、作风建设、纪律建设，把制度建设贯穿其中，通过政府自身改革和建设，提升治理体系和治理能力的现代化水平。"
8	加快形成政府主导、覆盖城乡、可持续的基本公共服务体系，在学有所教、劳有所得、病有所医、老有所养、住有所居上持续取得新进展。坚持优先发展教育，推进义务教育均衡发展，推动教育资源重点向农牧区、边境和人口较少民族聚居区倾斜，力争到2017年，学前教育毛入园率达到60%、小学入学率达到99.5%、初中毛入学率达到99%、高中入学率达到80%以上；强化人力资源开发，做好人才工作。着力提高人民健康水平，完善城乡医疗卫生设施和功能，加强医疗卫生人才队伍建设；巩固和完善以免费医疗为基础的农牧区医疗制度，为群众提供安全有效方便价廉的公共卫生和基本医疗服务；健全全民健康体检制度；推动全民健身运动深入开展；提高出生人口素质，促进人口长期均衡发展。努力实现更高质量的就业，贯彻劳动者自主就业、市场调节就业、政府促进就业和鼓励创业的方针，鼓励多渠道多形式就业，促进创业带动就业，动态消除零就业家庭；引导高校毕业生到企业、基层就业，鼓励自主创业，确保西藏高校应届毕业生全就业；加强职业技能培训，提升劳动者就业创业能力，每年新增城镇就业2万人以上、农牧区劳动力转移45万人次以上。统筹推进城乡社会保障体系建设，落实广覆盖、保基本、多层次、可持续的方针，进一步扩大社会保险覆盖范围，稳步提高社会保险待遇水平，尽快做到能转移、可接续、好衔接，到2017年各险种参保率达到95%以上；积极发展社会福利事业，农村五保集中供养率达到50%以上；加大残疾人就业扶持力度，继续做好优抚工作。
9	2014年政府工作总体要求是：全面贯彻落实党的十八大和十八届二中、三中全会精神，深入学习贯彻习近平总书记一系列重要讲话精神，认真落实中央经济工作会议、中央城镇化工作会议部署，按照市委十届三次、四次全会要求，坚持稳中求进工作总基调，把改革创新贯穿于经济社会发展各个领域各个环节，以提高发展质量和效益为中心，加大转方式调结构力度，进一步扩大开放，切实保障和改善民生，大力加强社会主义经济、政治、文化、社会、生态文明建设，开创美丽天津建设新局面。
