0	高度关注民生，切实解决关系群众切身利益的问题。要认真抓好新时期扶贫开发工作，着力抓好就地开发扶贫、易地开发扶贫、救济式扶贫和整村推进工作，尽量减少贫困人口。要切实抓好贫困村基础建设和技术培训工作。继续做好东莞市对口帮扶工作。实施好国家扶持环江县的“民族帮扶工程”。抓好环江、罗城世行扶贫项目。加强电站库区基础设施建设，帮扶库区移民发展经济，加快库区移民脱贫致富。要进一步加强就业和再就业工作，让更多的群众就业有门、创业有路。加快社会保障体系建设，努力实现老百姓老有所养、病有所医、失有所补、困有所助，生活更有保障。要按照自治区提出的今年为民办好十件实事的要求，认真抓好落实。各县（市、区）要根据实际情况，研究落实为民办实事的具体方案，多为群众办实事、好事。
1	坚定不移改善民生。改善民生是政府工作的出发点和落脚点。必须始终坚持以人民为中心的价值取向，努力解决好教育、医疗、环境、住房、养老、交通、食品药品安全等突出民生问题，着力打造宜居宜业环境，大力促进社会公平正义。必须坚定不移地把脱贫攻坚作为头等大事，精准发力、精准施策，确保全年目标任务的圆满完成。必须把民之所望作为施政所向，优先保障民生投入，优先安排民生项目，优先解决民生难题，让全市广大群众成为改革发展的最大受益者。
2	四是百件民生实事全面完成。新建13个社区蔬菜副食品直销点。投入65亿元实施棚户区改造项目22个、建设房屋10690套。回购900套商品房和经济适用房作为公租房，降低保障房申请门槛，4000户中低收入家庭圆了“住房梦”。建成BRT6号线支线，新增和优化公交线路30条，试点开通定制公交线路2条。落实残疾人免费乘坐公交车政策。新设立养老机构3个，新增养老床位307张。建成“儿童之家”19个，符合条件的困境儿童全部纳入城乡低保。
3	切实办好10件民生实事。一是推进扶贫开发。年内新增脱贫人口6100人。二是推进保障性安居工程建设。开工建设城镇保障性住房1400套，完成农村危房改造1100户、库区移民危房改造529户。三是提高社会保障水平。从2013年7月起，将全市新农保领取待遇人员基础养老金由每人每月85元提高到100元，将新型农村合作医疗参合人员和城镇居民医疗保险参保人员财政补助标准由每人每年240元提高到280元。将城市低保标准由每人每月不低于290元提高到不低于330元；将农村五保户供养标准由原来的每人每月270元提高到集中供养每人每月450元、分散供养每人每月350元。建设兰洋敬老院，建成市托老院综合楼，新增床位140张。四是实施更加积极的就业政策。城镇新增就业8000人，新增农村劳动力转移就业1万人。五是保持居民副食品价格稳定，实施城镇菜市场标准化改造工程。新增常年蔬菜基地4500亩，新建平价商店3家、平价专区1个。适时启动城乡低收入群体补贴与物价上涨联动机制。改造升级城镇菜市场5家。六是加快教育事业发展。新建镇公办幼儿园5所，新增幼儿园学位2500个。免除全市2616名中职在校学生学费。开工建设96个校安工程项目和市职校综合教学实训大楼。七是实施农村饮水安全工程。新建30处农村安全饮水工程，继续实施城乡“膜法”饮水示范工程，解决5万农村人口饮水安全问题。建成新州、富克、海头、中和、木棠等5个水厂或供水管网项目。八是增加农民小额贷款贴息和扩大农业保险补助范围。对全市农民小额贷款按不低于5%的贴息率给予财政贴息，实现农业保险财政补贴14个险种全市覆盖。九是免费实施地中海贫血筛查诊断服务和失聪儿童救治，加强镇村卫生机构标准化建设。为2013年计划怀孕夫妇免费开展地中海贫血筛查及关联产前诊断服务，支持困难家庭适应症儿童实施人工耳蜗植入手术及康复训练。完成东成、王五、海头、南丰、中和等5所卫生院和20所村卫生室标准化建设。十是实施县道砂土路改建工程。开工建设新光线、宝光线、东都线、那兰线4条共58.9公里县道砂土路，建成通车27.5公里。这10件民生实事，是市委、市政府对全市人民的庄严承诺。我们一定要明确责任，加强领导，确保投入，不折不扣全面完成，让全市人民实实在在地分享到儋州改革发展的成果。
4	认真办好十件民生实事。一是建设义务教育学校34个，新增义务教育阶段学位2.7万个以上。二是实施基本医疗保险城乡一体化改革[42]。三是提高城乡居民最低生活保障标准，惠及2.8万困难群众。四是开展“健康细胞”工程建设，建成40个健康村（居）、社区、医院、学校等。五是完善公交配套设施建设，新建公交专用道30公里，新增、更新公交车300辆和公共自行车1000辆。六是全面实施100项环保民生实事。七是建设300公里污水管网、16项民生水务重点工程。八是新增、改造公园绿地面积193公顷。九是建设行政村（社区）综合文化服务中心300个。十是按时保质保量完成省下达的住房保障工作任务。
5	在保障改善民生上实现新跨越。坚持把发展成果体现在提高人民生活水平上，体现在满足人民物质文化需求上，让公共财政的阳光普惠民生，努力促进社会就业更加充分、社会保障体系更加健全、收入分配更加合理、劳动关系更加和谐、公共服务更加便捷。继续抓好教育资源优化整合，注重发展学前教育、特殊教育和职业教育，在全省率先实现“高中向城区集中、初中向城镇集中、小学向乡镇集中、教学点向行政村集中”等“四个集中”目标。加强基层医疗卫生体系建设，促进基本公共卫生服务均等化。加强民主法制建设，促进社会和谐稳定。
6	着力改善民生。扩大城乡最低生活保障覆盖面，农村低保覆盖率力争达到100%；提高城乡最低生活保障水平，按照省制定的补贴标准实施，即城市每人每月补贴80元，农村每人每月补贴40元，分别比上年提高53.8%和60%。继续加大社会保险的扩面征缴、清欠力度，完善养老、医疗、失业、工伤和生育保险制度。推进企业职工基本养老保险制度建设，吸引非公有制企业和灵活就业人员参保，进一步扩大社会保障覆盖面。全面理顺县级劳动保障和社会保障体制，进一步完善社会保险市级统筹工作机制。加强基金监管，加快解决社会保险历史遗留问题。今年各级财政将安排2亿元用于以优抚安置、扶老、助残、救孤、济困为重点的慈善事业和社会福利事业。实施全民安居工程，抓好农村安居工程，今年底解决贫困户住房困难问题；加快推进经济适用房和廉租房建设，解决城镇特困户和中低收入家庭住房难问题。发展残疾人事业，保障残疾人合法权益。创新扶贫工作思路，大力推进科技、教育和智力扶贫。坚持就业优先原则，创新城乡统筹就业制度，加大公益性岗位开发力度，加强对大学毕业生的就业指导和服务，大力推进富余劳动力转移就业。开展“双无”（无双下岗或双失业社区）等就业援助专项行动，加强对零就业家庭、“4050”人员和农村贫困家庭的再就业援助，让弱势群体有更多的关爱，让千家万户有更多的笑容，让困难群众有更多的温暖。加强职业技能培训，全面实施“广东省百万农村青年技能培训工程”和退役士兵免费职业技能培训工作。进一步完善劳动关系调整机制，维护劳动者合法权益，构建和谐稳定的劳动关系。
7	（三）加快推进以保障和改善民生为重点的社会建设，努力实现富民惠民、公平正义的和谐发展。坚持不断完善保障和改善民生的制度安排，推动基本公共服务均等化，使困难群众生活更有保障，老年群体生活得到更多关怀，全体居民生活普遍改善。实施更加积极的就业政策，合理调整收入分配关系，优化扩大就业创业、增加劳动收入的政策条件和环境，建成国家级创业型城市。健全覆盖城乡的社会保障、基本医疗、养老救助等服务体系，推进社会保障制度整合衔接，在扩大覆盖范围、提高保障水平和制度统一方面实现突破。加大保障性住房建设力度，多渠道筹措公共租赁住房，全面完成城中村改造。强化政府社会管理职能，更新社会管理理念，创新社会管理体制，整合社会管理资源，形成科学有效的利益协调、诉求表达、矛盾调处和权益保障机制，提高社会管理的科学化水平。落实计划生育基本国策，促进人口规模、结构、素质协调发展。始终把保护人民生命财产安全放在首位，构建公共安全和防灾减灾体系，营造社会安定、百姓安宁的良好局面。
8	坚持民生为本。落实以人民为中心的发展理念,顺应民心、尊重民意,感知群众冷暖,回应群众关切,扎实推进基本公共服务均等化,加快形成全覆盖、可持续的社会保障制度和更加健全完善的基本公共服务体系,努力提高人民群众生活水平,确保到2018年城乡居民人均收入比2010年翻一番。
9	一年来，我们不遗余力抓落实，切实关注和改善民生，各族群众共同享有改革发展成果；我们大张旗鼓抓宣传，惠民政策明白卡进村入户，广大群众真正明白惠在何处、惠从何来，全区各族人民群众更加心向党、心向祖国、心向社会主义，推动科学发展、促进社会和谐的群众基础更加牢固。
