0	二是积极推进科技创新。实施创新驱动战略，支持创新要素、创新资源向产业、园区、企业集聚，完善产业技术开发、产权交易保护、科技金融服务等平台，加快构建以市场为导向、企业为主体、产学研相结合的区域创新体系，推动科技成果商品化、资本化、产业化。重点实施“5个100科技计划”：鼓励企业自主创新，扶持发展100家创新能力突出、具有自主知识产权的创新型企业、知识产权示范企业；组建100个工程技术中心、重点实验室和产业技术创新战略联盟；实施100个重点科技攻关项目；实施100个重点技术改造项目；培养、引进100个高层次人才。启动建设中科院贵州现代资源技术研究成果转化中心。力争全社会研发经费占生产总值比重达1.8%，科技进步对经济增长贡献率达54.5%，高新技术产业增加值增长30%以上。
1	优化科技创新环境。制定科技投入、税收奖励、金融支持、创造和保护知识产权、科技创新基地与平台等政策规定，保障中长期科技发展规划的落实。自 主创新，人才为本。加快培养一批科技拔尖人才和研发团队。长期以来，科技人员在加快我市科技进步和经济社会发展中做出了突出贡献，赢得了全社会的赞誉。我 们要全力支持广大科技工作者在建设创新型城市的实践中建立新的业绩。
2	全面加强科技创新。围绕产业链部署创新链，以骨干企业为主体，组织开展一批重大产品研制和关键技术攻关，打造全链条、贯通式产业技术创新支撑体系。全社会研发经费投入增长15%。加快建设科技大市场和公共研发技术检验检测平台，完善科技成果转化机制，推动落地转化60项以上，技术合同成交额增长10%以上。坚持高新区、自贸区、综保区“三区”融合发展，加快集聚创新创业要素，推动高新区转型升级。加大高端人才和创新团队引进力度，全年培育省、市研发机构10家以上，新增国家级高新技术企业30家以上，高新技术产品产值增长15%。继续实施“企业•博士双创计划”，大力推动创新创业。
3	突出增强科技创新能力。加大高新技术企业培育力度，确保增加值增长10%。鼓励和支持企业组建产业技术研究院、院士工作站、博士后工作站、技能大师工作室、劳模（职工）创新工作室等产业创新平台，推动六安高新技术产业园区高标准建设，加快六安大学科技园二期工程、合肥高新区霍邱现代产业园、氢能产业研究中心建设。实施知识产权质量提升工程，力争万人发明专利拥有量达2.6件以上。强化科普能力建设，提升公民科学素质。推进产业工人队伍建设改革，弘扬劳模精神和工匠精神。实施更加有效的人才引进和培育政策，打造人才“强磁场”，广聚英才、用好人才，充分激发各类人才积极性，真正把“人才是发展的第一资源、创新是发展的第一动力”从都会喊的口号变成都会干的行动。
4	化工和清洁能源等高新技术产业为主的新型工业。充分利用丰富的南海石油天然气资源、水力和风力资源、矿产资源、农产品资源，强化招商引资，不断优化投资环境，积极推进东方工业园区建设，争取更多的大企业大项目入园，集聚发展临港工业。三是以农业为立足点，加快推进热带特色现代农业发展。依托我市农业优势资源，推进热带水果、冬季瓜菜、热带作物、热带花卉、海水养殖等农产品生产基地建设，争取到2015年把我市初步建设成为海南热带特色现代农业示范区。
5	加快技术创新平台建设，提高服务水平。大力推进公共技术创新服务平台建设，新增5个市级以上工程技术研究中心和10个企业技术中心。加强与高校院所的科技对接，大力引进名校名院的研发机构和力量，推进企业与中科院、清华大学等院所的产学研合作，力争建成5个以上中试基地和合作示范企业。以常州大学城和其他在常高校为依托，建设服务全市的公共科技研发和教育培训平台，引进国内外科技创新资源，发展研发经济、总部经济。加大知识产权保护力度，扶持发展创业服务和科技中介组织，加快科技创业孵化基地建设。加大高新技术产业和现代服务业人才的引进和培养力度，着力增强我市自主创新的原动力。
6	强化科技创新。加快实施创新驱动发展战略，推进新一轮“建设创新型云南行动计划”。加强与省内外高校、科研机构合作，促进产学研一体化发展。支持企业建设技术创新战略联盟，引进一批科研机构和科技型企业，实施生物医药与大健康产业、新能源产业与新能源汽车等科技重大专项，开发生物疫苗，有色金属新材料，风光电、工程装备制造和农业机械等重大新产品。落实研发费用加计扣除及后补助政策，加强现代科研院所和重大科研平台建设，进一步向社会开放重大科研设施和大型科研仪器。完善激励机制，加大人才培养和引进力度。加快众创空间孵化基地等服务载体建设，建设一批集生态、文化、旅游、创新为一体的特色小镇，着力营造大众创业、万众创新的环境。加强知识产权保护，加强原产地商标注册，保护和有序开发生物资源。
7	——坚持人才优先、科技支撑，努力实现创新发展。发挥我市科技、教育、人才资源优势，优化创新资源配置和综合利用，让一切劳动、知识、技术、管理和资本活力竞相迸发，让一切创造社会财富的源泉充分涌流，努力使创新驱动成为锦州发展进步的重要推动力量。
8	进一步落实《上海实施科教兴市战略行动纲要》,增强科技创新能力。加快推进公共服务平台建设,注重完善机制,发挥功能。制定科技发展中长期规划,拓宽“部市合作”的领域和范围,积极参与国家重大科技项目攻关和国家级实验室、国家级工程研究中心建设,加强基础性、应用性科技研究,占领高科技发展的制高点。进一步完善重大科技攻关项目筛选、实施及后评估机制,已启动项目要早出成效。进一步落实促进高新技术成果转化的政策,加快科研成果产业化进程。以企业为主体,加强产学研战略联盟,推动科研院所体制机制改革,完善科技创新机制,增强企业自主创新能力。贯彻落实《上海市实施人才强市战略行动纲要》,注重对各级各类人才的引进、培养和使用,优化高层次人才和创新团队建设的环境,充分激发人才的活力。继续加强知识产权工作,加大知识产权保护力度。继续推进科普教育基地建设。
9	加速构建有利于技术创新和科技成果产业化的新机制。引导企业面向市场，大力开展技术创新活动。加强企业技术中心建设，支持马钢争创国家级技术中心，年内再创一至两家省级技术中心，支持和促进市属非公益性科研设计单位尽快转为科技型企业，整体或部分进入企业、转为中介服务机构。鼓励和支持矿院、设计院、华冶等院校和科研机构，以项目或课题为纽带，通过组建技术开发机构或建立经济联合体等多种形式，与地方企业开展技术合作。发挥企业的主体作用，加深与南京大学、东南大学的经济技术合作，加速产学研结合。大力支持民营科技企业和科技型中小企业的发展，在注册登记、申报项目、成果认定、职称评定等方面与国有企业同等对待。支持民营科技企业收购、租赁国有科研机构，鼓励科技人员创办或领办民营科技企业，使民营科技企业得到迅速发展。继续推进博望星火技术密集区建设，增强服务、带动功能。按照市场规则使用科技发展基金，建立科技型中小企业技术创新专项资金，在增加政府投入的同时，引导企业和社会增加投入，还要积极探索与高科技产业化相适应的风险投资机制，形成多元化投融资体制。在科技企业创业服务中心的基础上建立创业投资公司，逐步将其建成集投资、管理、服务和引智、引技、引资为一体的综合基地。改革科技奖励制度和分配制度，提高技术入股比例，在科技企业中试行股份期权制，充分调动科技人员创新创业的积极性。
